URL,Label
tube8vidsjhn.ddns.name/2013/girl-fucked-by-dog.avi.exe,bad
textidea.com/work/new/index.php,bad
www.nembi.com.br/plugins/user/paypal/login.php?cmd=_login-run&dispatch=5885d80a13c0db1f1ff80d546411d7f8a8350c132bc41e0934cfc023d4e8f9e5,bad
bcafebcmbccnfecc.cc /,bad
avestaautoprofile.com/bbs/messages/,bad
www.pls-print.com/images/index.htm?ref=jgakbkmus.battle.net/d3/en/index,bad
jackkwizc.ddnsking.com/p4zra9wf/fqvX3UJpRUzzw413CrFN0tzYrCt6TXgvegnIUUct0z3yH6.4060129,bad
blog.nabatakoutdoors.com/oer/go.php?abbey=121412&santa=55855,bad
etfgeek.us/09y7gnninj,bad
ilansorgula.com/h5io1/aoil/lokiJh1/da1ce0fa6edba4c24b4cc2bc05d7b559/,bad
mulherdefe.com/do_ifnfo_pay/70748d211205cd083b9c/informations/service_pay/,bad
edandmarilynlieb.com/hosting/host/auth/view/document/,bad
171.244.8.31/nigs.sh,bad
6i3cb6owitcouepv.micropaysearch.com/img/lb.png,bad
www.x0x1x0.biz/websito/,bad
milangardeninn.com/script/data/,bad
dateaqui.com/system/fFF2VVV/index.html,bad
www.chasing90ag1.com/index_files/wecome/_cqr/login/login.psp/ccc/,bad
samenart.com/nyvsbcl,bad
theartwarehouse.net/components/com_media/bbbomparatodos,bad
likelikeblog.bugs3.com/keybase/keybase/post.php,bad
midasrxpharmacy.com/wp-admin/js/LoginPaggiesmain/LoginPaggiesmain/,bad
www.paypal.com-secured-account-apdate-1000987454111111-cmd-secured.way-loggin.system.secured.number100025544786554412.secured-action-cmd-ref.10987451agtyudsxqwmluiyytr214dssdfkjomzd4fdsfs.deterrawingchun.com/paypal/webscr.php?cmd=_login-run&dispatch=5885d80a13c0db1f1ff80d546411d7f8a8350c132bc41e0934cfc023d4e8f9e52924f3d99b0b3b677f636bc7eeeb02992924f3d99b0b3b677f636bc7eeeb0299,bad
paypal.com.cgi.bin.webscr.cmd.login.submit.dispatch.31356489436156789456312302648994151511541512105451212548544.bbwhotbabes.com/service/Limit56/,bad
www.zaccariapietro.it/wp-content/themes/amplus_v1.6/functions/cache/brichetadolanescu.htm,bad
camorg.net/about/file/flash/,bad
upsuppliers.co.za/previewproductorder1/dpbx/,bad
www.wzwjm.com/inc/?secure.runescape.com/m=weblogin/loginform.ws?mod=www&amp;qpxhgzsamp;ssl=0&amp;dest,bad
msgdown.xinyinhe.com/717/XYH/yinhfllk.apk,bad
tiny.cc/cartasi-it,bad
savannahraces.net/wp-content/50/webmail.zimra.de/aa7bfebd7a93b4639f1cb4207ad24699/,bad
bearbenz.org/KXgbf8OPLMo/webscrprim.php?YmVhcmJlbnoub3JnuhOTG57kUJHNN54221oPLKj988777AOP784MTM1ODAxNzkzMQ==,bad
stat.das.kingnet.com,bad
homeohealthclinic.com/wp-includes/wetransfer/wetransfer/kola.html,bad
dvdzone24.com.au/dxat8,bad
texascougar.com/index/LFAENRO/es/verification.php,bad
intranet.4more.com.au/md/,bad
